,lons,lats
0,68.35,22.0
1,68.45,21.95
2,68.5,21.84
3,69.0,21.2
4,69.5,20.5
5,69.9,20.1
6,70.3,19.4
7,70.8,18.9
8,71.2,18.3
9,71.55,18.0
10,71.73,17.8
11,71.9,17.5
12,72.05,17.32
13,72.15,17.24
14,72.25,17.15
15,72.35,17.0
16,71.95,16.4
17,71.85,16.0
18,71.95,15.6
19,72.17,15.2
20,72.15,15.0
21,72.25,14.75
22,72.5,14.5
23,72.66,14.3
24,72.57,14.1
25,72.5,14.2
26,72.4,13.55
27,72.0,13.3
28,71.5,12.86
29,71.2,12.8
30,70.9,12.8
31,70.8,12.85
32,70.69,13.0
33,70.67,13.05
34,70.65,13.2
35,70.7,13.8
36,70.83,14.0
37,70.85,14.34
38,70.8,14.41
39,70.5,14.4
40,70.34,14.53
41,69.85,14.53
42,69.5,14.33
43,69.25,14.25
44,69.0,14.13
45,68.75,13.88
46,68.61,13.63
47,68.6,13.62
48,68.58,13.55
49,68.65,13.3
50,68.85,13.0
51,68.84,12.8
52,68.82,12.7
53,68.79,12.5
54,68.75,12.3
55,68.72,12.25
56,68.65,12.2
57,68.6,12.2
58,68.0,12.24
59,67.0,12.3
60,66.5,12.25
61,66.05,11.82
62,65.8,11.57
63,65.7,11.5
64,65.6,11.55
65,65.5,11.45
66,65.3,11.4
67,65.2,11.35
68,65.0,11.3
69,64.0,11.35
70,63.9,11.4
71,63.7,11.45
72,63.6,11.5
73,62.95,11.85
74,62.85,11.9
75,62.7,12.0
76,62.5,12.2
77,62.4,12.4
78,62.3,12.5
79,62.0,12.9
80,61.78,13.2
81,61.75,13.65
82,61.65,13.75
83,61.76,14.0
84,61.75,14.15
85,62.0,14.3
86,62.5,14.8
87,63.0,15.1
88,63.25,15.4
89,63.3,15.5
90,63.45,15.65
91,63.6,15.85
92,63.65,16.05
93,63.65,16.25
94,63.6,16.55
95,63.35,16.39
96,63.3,16.4
97,63.2,16.5
98,62.8,16.65
99,62.4,16.72
100,62.3,16.75
101,62.2,16.8
102,62.1,16.9
103,62.0,17.1
104,62.05,17.3
105,62.2,17.5
106,62.44,17.6
107,62.58,17.5
108,62.42,17.6
109,62.6,17.7
110,63.0,18.2
111,63.05,18.4
112,63.13,18.6
113,63.3,18.7
114,63.38,19.0
115,63.3,19.3
116,63.2,19.5
117,63.1,19.6
118,63.05,19.8
119,63.1,20.1
120,63.4,20.5
121,63.68,21.2
122,63.68,21.38
123,63.7,21.38
124,63.8,21.4
125,64.4,21.9
126,64.8,22.15
127,64.8,22.15
128,65.0,22.11
129,65.25,22.12
130,65.6,22.02
131,66.0,22.03
132,66.5,22.3
133,66.7,22.4
134,67.0,22.25
135,67.2,22.1
136,67.3,22.1
137,67.4,22.15
138,67.5,22.14
139,67.6,22.11
140,67.8,22.1
141,68.0,22.13
142,68.1,22.18
143,68.35,22.0
